Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/29/2025,AQS,180030015,3,4.8,ug/m3 LC,27,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/30/2025,AQS,180030015,3,7.5,ug/m3 LC,42,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
01/31/2025,AQS,180030015,3,10.5,ug/m3 LC,54,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/01/2025,AQS,180030015,3,4.3,ug/m3 LC,24,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/02/2025,AQS,180030015,3,11.2,ug/m3 LC,55,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/03/2025,AQS,180030015,3,14.5,ug/m3 LC,61,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/04/2025,AQS,180030015,3,5,ug/m3 LC,28,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/05/2025,AQS,180030015,3,5.8,ug/m3 LC,32,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/06/2025,AQS,180030015,3,7.8,ug/m3 LC,43,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/07/2025,AQS,180030015,3,5.7,ug/m3 LC,32,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
02/08/2025,AQS,180030015,3,10,ug/m3 LC,53,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
